fecha_recepcion,fecha_envio,producto,subproducto,asunto,subasunto,descripcion_queja,descripcion_solucion,compania,estado_abbr,estado,codigo_postal,etiquetas,consentimiento_cliente,medio_comunicacion,estatus_queja,respuesta_a_tiempo,se_abre_disputa
29/07/2013,01/08/2013,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,U.S. Bancorp,MN,Minnesota,55414,,N/A,Web,Closed with non-monetary relief,Yes,No
29/07/2013,29/07/2013,Credit card,,Billing disputes,,,,Capital One,FL,Florida,32226,Servicemember,N/A,Web,Closed with explanation,Yes,No
29/07/2013,05/08/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,CA,California,92277,,N/A,Web,Closed with explanation,Yes,No
29/07/2013,30/07/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,First Tennessee Bank,TN,Tennessee,37806,Servicemember,N/A,Phone,Closed with explanation,Yes,Yes
29/07/2013,30/07/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,Discover,MA,Massachusetts,2043,,N/A,Web,Closed with explanation,Yes,No
29/07/2013,30/07/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,CA,California,91741,,N/A,Phone,Closed with explanation,Yes,No
29/07/2013,31/07/2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,Bank of America,CA,California,91320,,N/A,Web,Closed with explanation,Yes,No
29/07/2013,30/07/2013,Credit card,,Credit line increase/decrease,,,,Citibank,WI,Wisconsin,53066,Older American,N/A,Phone,Closed with explanation,Yes,Yes
29/07/2013,30/07/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,CA,California,95765,,N/A,Web,Closed with explanation,Yes,Yes
29/07/2013,31/07/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,CIT Bank National Association,CA,California,95363,,N/A,Phone,Closed,Yes,No
29/07/2013,17/09/2013,Debt collection,Credit card,Communication tactics,Threatened to take legal action,,,"Borenstein & Associates, LLC",WY,Wyoming,82605,,N/A,Web,Closed,Yes,No
29/07/2013,30/08/2013,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,"Houston Home Loan, Inc.",TX,Texas,77386,,N/A,Web,Closed with explanation,Yes,Yes
29/07/2013,13/08/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,NY,New York,10038,,N/A,Web,Closed,Yes,No
29/07/2013,30/07/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,VA,Virginia,24112,Older American,N/A,Web,Closed with explanation,Yes,No
29/07/2013,01/08/2013,Bank account or service,Other bank product/service,Problems caused by my funds being low,,,,Bank of America,NY,New York,11716,"Older American, Servicemember",N/A,Phone,Closed with explanation,Yes,No
29/07/2013,21/08/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"Fidelity National Information Services, Inc. (FNIS)",CT,Connecticut,6514,,N/A,Referral,Closed with explanation,Yes,No
29/07/2013,31/07/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,People''s United Bank,CT,Connecticut,6514,,N/A,Referral,Closed with explanation,Yes,No
29/07/2013,01/08/2013,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,,"Citizens Financial Group, Inc.",VT,Vermont,5770,Servicemember,N/A,Web,Closed with non-monetary relief,Yes,No
30/07/2013,01/08/2013,Consumer Loan,Vehicle lease,Managing the loan or lease,,,,Ally Financial Inc.,MI,Michigan,48238,,N/A,Fax,Closed with explanation,Yes,No
29/07/2013,31/07/2013,Consumer Loan,Vehicle lease,Managing the loan or lease,,,,"Asset Management Outsourcing, Inc.",NY,New York,11030,,N/A,Web,Closed with explanation,Yes,No
30/07/2013,02/08/2013,Credit card,,Payoff process,,,,Wells Fargo & Company,NV,Nevada,89108,Servicemember,N/A,Phone,Closed with explanation,Yes,No
30/07/2013,31/07/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Bank of America,CA,California,95219,,N/A,Web,Closed with non-monetary relief,Yes,No
29/07/2013,31/07/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,TD Bank US Holding Company,NJ,New Jersey,7656,,N/A,Postal mail,Closed with monetary relief,Yes,No
29/07/2013,29/07/2013,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,"TransUnion Intermediate Holdings, Inc.",CO,Colorado,80247,,N/A,Web,Closed with non-monetary relief,Yes,No
30/07/2013,01/08/2013,Bank account or service,Checking account,Using a debit or ATM card,,,,JPMorgan Chase & Co.,NY,New York,11772,,N/A,Web,Closed with explanation,Yes,No
29/07/2013,31/07/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,FL,Florida,33326,,N/A,Web,Closed with explanation,Yes,No
30/07/2013,01/08/2013,Bank account or service,Savings account,Deposits and withdrawals,,,,JPMorgan Chase & Co.,NY,New York,10469,,N/A,Web,Closed with explanation,Yes,No
30/07/2013,30/07/2013,Credit card,,Closing/Cancelling account,,,,Citibank,TX,Texas,78249,,N/A,Web,Closed with explanation,Yes,Yes
31/07/2013,01/08/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,Wells Fargo & Company,GA,Georgia,30680,,N/A,Web,Closed with non-monetary relief,Yes,Yes
29/07/2013,02/08/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,MI,Michigan,49042,,N/A,Referral,Closed with explanation,Yes,No
29/07/2013,30/07/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,NY,New York,11230,,N/A,Referral,Closed with explanation,Yes,No
29/07/2013,31/07/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,CA,California,95020,,N/A,Referral,Closed with explanation,Yes,No
29/07/2013,30/07/2013,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,AZ,Arizona,85138,,N/A,Referral,Closed with explanation,Yes,Yes
29/07/2013,30/07/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,NY,New York,10803,,N/A,Referral,Closed with explanation,Yes,Yes
29/07/2013,01/08/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Ocwen,MA,Massachusetts,2126,,N/A,Referral,Closed,Yes,No
31/07/2013,30/07/2013,Credit card,,Billing statement,,,,JPMorgan Chase & Co.,DE,Delaware,19809,,N/A,Web,Closed with monetary relief,Yes,No
31/07/2013,01/08/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Santander Bank US,NJ,New Jersey,7106,,N/A,Web,Closed with explanation,Yes,No
29/07/2013,30/07/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,HSBC North America Holdings Inc.,OH,Ohio,44112,Older American,N/A,Phone,Closed with explanation,Yes,No
29/07/2013,31/07/2013,Credit reporting,,Credit reporting company''s investigation,Problem with statement of dispute,,,Experian,NY,New York,14622,,N/A,Web,Closed with explanation,Yes,No
31/07/2013,30/07/2013,Debt collection,Credit card,Taking/threatening an illegal action,Sued w/o proper notification of suit,,,Encore Capital Group,NY,New York,14212,,N/A,Web,Closed with explanation,Yes,No
29/07/2013,30/07/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,IN,Indiana,47265,Older American,N/A,Web,Closed with explanation,Yes,No
30/07/2013,17/09/2013,Debt collection,I do not know,Cont''d attempts collect debt not owed,Debt is not mine,,,"Fidelity National Information Services, Inc. (FNIS)",CO,Colorado,81302,,N/A,Web,Closed with explanation,Yes,No
31/07/2013,30/07/2013,Credit card,,Payoff process,,,,Citibank,NJ,New Jersey,7018,,N/A,Web,Closed with explanation,Yes,No
31/07/2013,31/07/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,NY,New York,14212,,N/A,Web,Closed with explanation,Yes,Yes
31/07/2013,31/07/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,CA,California,95037,,N/A,Web,Closed with explanation,Yes,Yes
30/07/2013,29/07/2013,Debt collection,Federal student loan,Communication tactics,Frequent or repeated calls,,,"Navient Solutions, Inc.",NY,New York,10026,,N/A,Web,Closed with explanation,Yes,No
31/07/2013,31/07/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Citibank,CA,California,90045,,N/A,Web,Closed with explanation,Yes,No
31/07/2013,30/07/2013,Debt collection,Credit card,Cont''d attempts collect debt not owed,Debt is not mine,,,The Moore Law Group,CA,California,91711,,N/A,Web,Closed with explanation,Yes,No
30/07/2013,01/08/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont''d attempts collect debt not owed,Debt was paid,,,"Franklin Collection Service, Inc.",IL,Illinois,60440,,N/A,Phone,Closed with explanation,Yes,No
31/07/2013,31/07/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,HSBC North America Holdings Inc.,FL,Florida,32747,,N/A,Web,Closed with explanation,Yes,Yes
30/07/2013,30/07/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,EverBank,TN,Tennessee,37217,,N/A,Web,Closed with explanation,Yes,No
31/07/2013,26/08/2013,Credit reporting,,Incorrect information on credit report,Account status,,,"TransUnion Intermediate Holdings, Inc.",DE,Delaware,19668,,N/A,Postal mail,Closed with explanation,Yes,No
30/07/2013,29/07/2013,Credit card,,Credit determination,,,,Wells Fargo & Company,CA,California,95409,Older American,N/A,Web,Closed with explanation,Yes,No
30/07/2013,30/07/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,CO,Colorado,80206,,N/A,Web,Closed with explanation,Yes,No
30/07/2013,31/07/2013,Credit card,,Credit determination,,,,Bank of America,FL,Florida,34983,,N/A,Web,Closed with explanation,Yes,Yes
30/07/2013,19/09/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont''d attempts collect debt not owed,Debt was paid,,,"Professional Debt Mediation, Inc.",FL,Florida,32304,,N/A,Web,Closed with explanation,Yes,No
30/07/2013,29/07/2013,Debt collection,Mortgage,Communication tactics,Threatened to take legal action,,,"Select Portfolio Servicing, Inc",NY,New York,11234,,N/A,Web,Closed with explanation,Yes,Yes
30/07/2013,29/07/2013,Credit card,,Identity theft / Fraud / Embezzlement,,,,Barclays PLC,SC,South Carolina,29412,,N/A,Web,Closed with explanation,Yes,No
31/07/2013,02/08/2013,Credit reporting,,Incorrect information on credit report,Account terms,,,Capital One,GA,Georgia,30126,,N/A,Web,Closed with explanation,Yes,No
30/07/2013,30/07/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,CA,California,91320,,N/A,Web,Closed with explanation,Yes,No
31/07/2013,05/08/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,NC,North Carolina,28075,Servicemember,N/A,Referral,Closed with explanation,Yes,No
30/07/2013,12/08/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,MN,Minnesota,55390,,N/A,Postal mail,Closed with explanation,Yes,No
30/07/2013,12/08/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,IA,Iowa,50325,,N/A,Postal mail,Closed with explanation,Yes,No
30/07/2013,30/07/2013,Credit reporting,,Credit reporting company''s investigation,No notice of investigation status/result,,,"TransUnion Intermediate Holdings, Inc.",OH,Ohio,43701,,N/A,Web,Closed with explanation,Yes,Yes
31/07/2013,02/08/2013,Credit reporting,,Credit reporting company''s investigation,No notice of investigation status/result,,,Experian,IL,Illinois,60633,,N/A,Postal mail,Closed with non-monetary relief,Yes,No
31/07/2013,31/07/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,,,Receivables Performance Management LLC,NY,New York,11205,,N/A,Web,Closed with explanation,Yes,Yes
30/07/2013,31/07/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,NC,North Carolina,28457,,N/A,Referral,Closed with explanation,Yes,No
30/07/2013,31/07/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,AL,Alabama,36526,,N/A,Referral,Closed with explanation,Yes,No
30/07/2013,19/08/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,NJ,New Jersey,7111,,N/A,Referral,Closed with non-monetary relief,Yes,No
31/07/2013,02/08/2013,Credit reporting,,Credit reporting company''s investigation,No notice of investigation status/result,,,"TransUnion Intermediate Holdings, Inc.",IL,Illinois,60633,,N/A,Postal mail,Closed with explanation,Yes,No
31/07/2013,02/08/2013,Bank account or service,Checking account,Problems caused by my funds being low,,,,TD Bank US Holding Company,FL,Florida,33186,,N/A,Referral,Closed with monetary relief,Yes,No
31/07/2013,05/08/2013,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,U.S. Bancorp,WI,Wisconsin,53130,,N/A,Referral,Closed with explanation,Yes,No
30/07/2013,31/07/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,CA,California,93111,,N/A,Referral,Closed with explanation,Yes,No
30/07/2013,31/07/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Citibank,AL,Alabama,36854,,N/A,Referral,Closed with monetary relief,Yes,No
31/07/2013,03/11/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,FL,Florida,33558,,N/A,Phone,Closed with explanation,Yes,No
30/07/2013,02/08/2013,Credit card,,APR or interest rate,,,,Amex,MA,Massachusetts,2215,,N/A,Referral,Closed with explanation,Yes,No
30/07/2013,01/08/2013,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,"Convergent Resources, Inc.",NV,Nevada,89074,,N/A,Referral,Closed,Yes,No
30/07/2013,02/08/2013,Credit card,,Billing disputes,,,,Amex,NY,New York,12060,,N/A,Referral,Closed with explanation,Yes,Yes
30/07/2013,31/07/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,TX,Texas,78239,,N/A,Fax,Closed with explanation,Yes,Yes
